video,frame,knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy
VID_20251012_2049446052.mp4,0,172.78694539963072,179.67775386973435,169.57992638401086,167.54749493744117,178.3151827069248,0.0
VID_20251012_2049446052.mp4,1,172.9020930506888,179.73629333455952,169.41085777811054,167.66586067893581,178.3007104962944,0.0030828483202662536
VID_20251012_2049446052.mp4,2,173.07068317989192,179.72828937244617,169.29445925615343,167.77728588191255,178.27942125410917,0.0027643969248939636
VID_20251012_2049446052.mp4,3,173.5027211959293,179.69138867315436,168.97460329591257,167.98936414060918,178.21314917175715,0.005483514830812002
VID_20251012_2049446052.mp4,4,174.08340767691226,179.50046158571143,168.750002019722,168.2329010420691,178.16028583278512,0.004774478748619501
VID_20251012_2049446052.mp4,5,174.65392212381894,179.02159671804156,168.5632450135918,168.59239100574112,178.12325648801558,0.004272339466121833
VID_20251012_2049446052.mp4,6,175.2206845361481,178.43771855797684,168.24436063143708,169.09675716409438,178.16582488045862,0.003891554383799044
VID_20251012_2049446052.mp4,7,175.7797624904692,177.74483953298187,167.76231137076584,169.751753551938,178.2879944203431,0.003540792581784879
VID_20251012_2049446052.mp4,8,176.16371744428506,177.1071692987073,167.2157227594665,170.42434850915794,178.46127966840572,0.003192388134607729
VID_20251012_2049446052.mp4,9,176.42279283910418,176.5493728284729,166.69279901061188,171.0946922174841,178.65420610632205,0.002701334947396886
VID_20251012_2049446052.mp4,10,176.74373313055887,176.07796626251934,166.05042557270676,171.68176129847367,178.81863840961446,0.002746747077793607
VID_20251012_2049446052.mp4,11,176.95446416563203,175.63764288211925,165.5844764610044,172.09800733591152,178.84276893541303,0.0027394456001140675
VID_20251012_2049446052.mp4,12,176.98394227681908,175.29298608244642,165.27332320314167,172.36895432324772,178.75646565935938,0.0027013143179006487
VID_20251012_2049446052.mp4,13,177.02252693346534,175.0635695695913,165.03248300561302,172.58438488056012,178.57918992020038,0.0026249159789633876
VID_20251012_2049446052.mp4,14,177.0046354997216,174.79987873677118,165.03637352278048,172.7752849812729,178.2025641558488,0.0029671141106689717
VID_20251012_2049446052.mp4,15,176.79224614927165,174.8094308103383,165.3589528817968,172.91078346884868,177.68005105520223,0.00455587153070404
VID_20251012_2049446052.mp4,16,176.3901165451848,175.14996707098143,165.78256441349103,173.08243427649555,177.15459045555338,0.005614752908033425
VID_20251012_2049446052.mp4,17,176.03006871835373,175.45118588735048,166.0785824774216,173.46080948155821,176.66269413161973,0.0066809409012452865
VID_20251012_2049446052.mp4,18,175.5261176708906,175.7861722749522,166.46197905946977,173.78110657559856,176.13767357589683,0.006719061576059489
VID_20251012_2049446052.mp4,19,175.08043702605215,176.19570071140203,166.56835610146314,174.11918265008808,175.76293376700755,0.0056730160629847246
