video,frame,knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy
VID_20251012_2050331212.mp4,0,175.34841858681392,172.8075692147181,163.61296364523702,173.64853926478526,179.4502414720409,0.0
VID_20251012_2050331212.mp4,1,175.39717505529558,173.1038564288019,163.76433487414704,173.59588202580105,179.37007003336686,0.0019303988432539572
VID_20251012_2050331212.mp4,2,175.39739274205462,173.23065098531606,163.9465283002644,173.52247264121297,179.23950500417322,0.0017712609315653429
VID_20251012_2050331212.mp4,3,175.5430068272325,173.47763877547945,164.1851562686473,173.34479424298408,178.9802197338706,0.0033234251469013974
VID_20251012_2050331212.mp4,4,175.77115323111028,173.26887634831087,164.3631224609099,173.49360125822395,178.70716415505822,0.0038595337023911796
VID_20251012_2050331212.mp4,5,175.9741265746308,172.84146544976417,164.41885572241722,173.70768696787957,178.39921684495965,0.0041218149617028715
VID_20251012_2050331212.mp4,6,176.1449973479922,172.29505798315634,164.35961815412358,173.9867624109988,178.07261473958732,0.004641572368923106
VID_20251012_2050331212.mp4,7,176.21806797148102,171.72419170783866,164.25602882390984,174.35668395933064,177.73944793752364,0.004753376737983625
VID_20251012_2050331212.mp4,8,176.23501697009968,171.2856459944103,163.97124977251934,174.88607332752326,177.50146642407796,0.005210222513674679
VID_20251012_2050331212.mp4,9,175.8668615186498,171.34685173226748,163.86811282035904,175.00365727056908,177.18505520965863,0.004214664069804256
VID_20251012_2050331212.mp4,10,175.3122681280133,171.70558384432215,163.88301798268628,174.98244641840748,176.8832731739079,0.0032374826900819485
VID_20251012_2050331212.mp4,11,175.1695658132728,172.42340336738943,163.9553506403256,174.83394415327214,176.56869224170725,0.002515060497454035
VID_20251012_2050331212.mp4,12,175.66535315922397,173.44667369751517,164.20225569667159,174.61746726382665,176.27923569305023,0.0033249624386377974
VID_20251012_2050331212.mp4,13,175.93094806188464,174.5779374293964,164.6816668459979,174.3140673589981,176.04061164069563,0.003932312782190479
