Model,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy
SVM,0.6625905900316381,0.00897563185272772,0.6047524752475247
RandomForest,0.9270980509065975,0.013332165810168379,0.8308910891089109
XGBoost,0.9255632535562199,0.018564958560124956,0.8106930693069307
KNN,0.9436163942886319,0.011650898808296789,0.8744554455445545
