Model,CV_Accuracy_Mean,CV_Accuracy_Std,Test_Accuracy
SVM,0.5698854606459396,0.004034743301574819,0.5263366336633664
RandomForest,0.9177787934634878,0.005291173497069956,0.8308910891089109
XGBoost,0.8919951538616683,0.00516866007383881,0.7643564356435644
KNN,0.8870185414968115,0.006226086418579284,0.8075247524752476
