video,frame,timestamp_s,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,0,0.0,0.4335603415966034,0.47012463212013245,-0.16918087005615234,0.9999982118606567,0.44135695695877075,0.46424105763435364,-0.14441411197185516,0.9999961853027344,0.4460904896259308,0.4645182490348816,-0.14444777369499207,0.9999960660934448,0.45094525814056396,0.4649374783039093,-0.1444287747144699,0.9999960660934448,0.42487597465515137,0.46395397186279297,-0.1476755142211914,0.9999957084655762,0.4183867573738098,0.46405014395713806,-0.14774049818515778,0.9999960660934448,0.41306060552597046,0.464260071516037,-0.14775913953781128,0.9999966621398926,0.455980509519577,0.4692193865776062,-0.024417564272880554,0.999987006187439,0.4032043516635895,0.469282329082489,-0.04254778474569321,0.9999905824661255,0.4427344799041748,0.479220986366272,-0.12692469358444214,0.999998927116394,0.42096206545829773,0.4788687527179718,-0.13201193511486053,0.9999990463256836,0.5040017366409302,0.5244551301002502,0.005257769487798214,0.9999836683273315,0.34952062368392944,0.5253601670265198,-0.01133097056299448,0.9999752044677734,0.5283160209655762,0.5856778025627136,-0.04285228252410889,0.9469107985496521,0.32871267199516296,0.5901404619216919,-0.060168392956256866,0.973513126373291,0.5172225832939148,0.6073824763298035,-0.2187466025352478,0.9215329885482788,0.3598369359970093,0.6112539768218994,-0.22673140466213226,0.9475372433662415,0.5170408487319946,0.6203392744064331,-0.2655751705169678,0.903917670249939,0.367800235748291,0.62138831615448,-0.2738621234893799,0.9279928207397461,0.506377637386322,0.6150041222572327,-0.28479886054992676,0.908711850643158,0.37688592076301575,0.6171290278434753,-0.289801687002182,0.9325600266456604,0.5031508207321167,0.6106423139572144,-0.2304343581199646,0.89357990026474,0.3767814338207245,0.6136340498924255,-0.2356385737657547,0.9225960969924927,0.4763541519641876,0.6305190920829773,0.0005169452633708715,0.9999349117279053,0.384806364774704,0.6331050395965576,-0.0002890419273171574,0.9998944997787476,0.5008509159088135,0.647312343120575,-0.42572206258773804,0.9914106130599976,0.3766825199127197,0.6443797945976257,-0.4282976984977722,0.9888318777084351,0.4920620918273926,0.7566962242126465,-0.33653733134269714,0.9896214008331299,0.39888378977775574,0.7488732933998108,-0.3139995336532593,0.988919198513031,0.48084160685539246,0.769554078578949,-0.33321335911750793,0.9442394375801086,0.4074043333530426,0.7599863409996033,-0.30581116676330566,0.9518028497695923,0.49348700046539307,0.7872183918952942,-0.5147938132286072,0.9883081316947937,0.3935259282588959,0.7837104201316833,-0.47132837772369385,0.9880207180976868
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,1,0.03333299075025693,0.43349167704582214,0.47005733847618103,-0.17518271505832672,0.9999980330467224,0.4412849545478821,0.46428754925727844,-0.1478593945503235,0.9999959468841553,0.44607964158058167,0.464570552110672,-0.14788754284381866,0.9999958276748657,0.45085498690605164,0.4649559557437897,-0.14786463975906372,0.9999958276748657,0.4248299300670624,0.4639836251735687,-0.1516357958316803,0.9999954700469971,0.41838353872299194,0.464099645614624,-0.15171237289905548,0.9999958872795105,0.4129762649536133,0.464328408241272,-0.15173061192035675,0.9999964833259583,0.4559571146965027,0.4692443609237671,-0.022959714755415916,0.9999863505363464,0.4031970202922821,0.46927595138549805,-0.04226802662014961,0.9999899864196777,0.44265690445899963,0.47921228408813477,-0.12990950047969818,0.9999988079071045,0.4209648370742798,0.47887247800827026,-0.13563674688339233,0.999998927116394,0.504021942615509,0.5244128704071045,0.005312624853104353,0.9999821782112122,0.3495236337184906,0.5253374576568604,-0.011012527160346508,0.999974250793457,0.5285130143165588,0.5851943492889404,-0.06362856924533844,0.9439857602119446,0.3287161588668823,0.5898933410644531,-0.07318247854709625,0.9726431965827942,0.516772985458374,0.6073717474937439,-0.24998797476291656,0.9160858392715454,0.3596620261669159,0.6113839149475098,-0.24932584166526794,0.9448551535606384,0.5164238214492798,0.620377242565155,-0.2984900176525116,0.8978774547576904,0.36727374792099,0.6215405464172363,-0.2989141643047333,0.9243080615997314,0.5061056613922119,0.6150350570678711,-0.31498464941978455,0.9028992056846619,0.3763591945171356,0.6173844933509827,-0.3144300878047943,0.9290616512298584,0.5028546452522278,0.6107012629508972,-0.26102763414382935,0.8871399164199829,0.3765420615673065,0.613962709903717,-0.25866010785102844,0.9185351729393005,0.476592093706131,0.6311303973197937,0.0005138606065884233,0.9999319314956665,0.38505610823631287,0.63322514295578,-0.00028461890178732574,0.9998900294303894,0.5004799962043762,0.6474339962005615,-0.4754115343093872,0.9917053580284119,0.3766724765300751,0.6443284153938293,-0.4712856113910675,0.989062488079071,0.49205052852630615,0.756637454032898,-0.35841336846351624,0.9898005127906799,0.39889755845069885,0.748619556427002,-0.33956435322761536,0.9890226721763611,0.48084262013435364,0.7695543169975281,-0.3526748716831207,0.9445385932922363,0.407804399728775,0.7599947452545166,-0.33049190044403076,0.951633095741272,0.49360254406929016,0.7867056131362915,-0.5456414818763733,0.9885272979736328,0.3917032778263092,0.7838672399520874,-0.5124737024307251,0.9881121516227722
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,2,0.06666598150051387,0.43339312076568604,0.4700247049331665,-0.1763286292552948,0.9999979734420776,0.4412349462509155,0.4643215835094452,-0.14832940697669983,0.9999958872795105,0.446075975894928,0.4646090269088745,-0.1483577936887741,0.999995768070221,0.4508160948753357,0.4649702310562134,-0.14833466708660126,0.999995768070221,0.42478424310684204,0.464015394449234,-0.15210479497909546,0.9999953508377075,0.4183753728866577,0.46415361762046814,-0.15218451619148254,0.9999958276748657,0.41289225220680237,0.4644049108028412,-0.15220233798027039,0.9999964237213135,0.45596227049827576,0.4692590832710266,-0.01937033236026764,0.9999862909317017,0.403196781873703,0.4692767262458801,-0.03920924291014671,0.9999896883964539,0.4425729811191559,0.47921210527420044,-0.13009013235569,0.9999987483024597,0.4209575057029724,0.47890710830688477,-0.1358499526977539,0.9999988675117493,0.5042590498924255,0.5244141817092896,0.007411037106066942,0.9999814629554749,0.34950584173202515,0.5253413915634155,-0.00624219560995698,0.9999736547470093,0.529139518737793,0.5851914882659912,-0.06808240711688995,0.9429840445518494,0.3287455439567566,0.5898867845535278,-0.07453066855669022,0.971453070640564,0.5165945887565613,0.6073502898216248,-0.2605767846107483,0.9142346382141113,0.3593379557132721,0.6114257574081421,-0.2614614963531494,0.942258358001709,0.5162109136581421,0.6203778386116028,-0.31046396493911743,0.8957067131996155,0.36663731932640076,0.621583104133606,-0.3126881420612335,0.9210484027862549,0.5059791207313538,0.6150437593460083,-0.32686901092529297,0.9008498191833496,0.3757890462875366,0.6174495220184326,-0.32874223589897156,0.9259870052337646,0.5027596354484558,0.610731840133667,-0.27155935764312744,0.8846956491470337,0.3761986494064331,0.6140661835670471,-0.2713097035884857,0.9149482250213623,0.476946085691452,0.6318246126174927,0.0005068261525593698,0.9999312162399292,0.38525140285491943,0.6335487961769104,-0.00027453270740807056,0.9998887777328491,0.5001707077026367,0.647515594959259,-0.4940152168273926,0.991959273815155,0.376689076423645,0.6442235708236694,-0.49129027128219604,0.9892409443855286,0.49205243587493896,0.7566468119621277,-0.3798421621322632,0.9899221062660217,0.39893513917922974,0.7486119866371155,-0.36179012060165405,0.9890877604484558,0.4808425009250641,0.7699573636054993,-0.374193400144577,0.9451859593391418,0.40804070234298706,0.7604736089706421,-0.35286569595336914,0.9516540169715881,0.4943102300167084,0.7862851023674011,-0.5700252056121826,0.9887230396270752,0.39082247018814087,0.7841072082519531,-0.5391689538955688,0.9881908297538757
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,3,0.09999897225077081,0.4333006739616394,0.46997493505477905,-0.17615236341953278,0.9999978542327881,0.44121119379997253,0.46434059739112854,-0.14798326790332794,0.999995768070221,0.44607648253440857,0.4646345376968384,-0.14801038801670074,0.9999956488609314,0.4508036971092224,0.46498072147369385,-0.14798416197299957,0.9999956488609314,0.4247702658176422,0.4640292227268219,-0.1518719345331192,0.999995231628418,0.41837552189826965,0.4641796052455902,-0.15195725858211517,0.9999957084655762,0.41286858916282654,0.464442640542984,-0.15197724103927612,0.9999963045120239,0.45598602294921875,0.4692753255367279,-0.01760394684970379,0.9999860525131226,0.40321284532546997,0.46927595138549805,-0.038076531141996384,0.9999892711639404,0.4425067901611328,0.4792098104953766,-0.12935806810855865,0.9999986886978149,0.42094358801841736,0.4789106249809265,-0.13535937666893005,0.9999988079071045,0.5043964982032776,0.5244413018226624,0.007794499397277832,0.9999804496765137,0.3494941294193268,0.5253444314002991,-0.0061204577796161175,0.9999735355377197,0.5294299125671387,0.5851936340332031,-0.07264986634254456,0.9418074488639832,0.3287505805492401,0.589641809463501,-0.07880695909261703,0.9707387089729309,0.5163647532463074,0.6073503494262695,-0.26417118310928345,0.9128265380859375,0.35922107100486755,0.6117455959320068,-0.26574960350990295,0.940822184085846,0.5159632563591003,0.6204268336296082,-0.31361469626426697,0.894109308719635,0.36596062779426575,0.6223594546318054,-0.31656143069267273,0.919285774230957,0.5056833028793335,0.6151174306869507,-0.32967108488082886,0.8993369936943054,0.37553122639656067,0.618249237537384,-0.33254969120025635,0.924352765083313,0.5025041103363037,0.6108419299125671,-0.2749183177947998,0.8830123543739319,0.37615570425987244,0.614842414855957,-0.27548447251319885,0.9131151437759399,0.476980060338974,0.6324799656867981,0.0005673011764883995,0.9999294281005859,0.38533416390419006,0.6340641975402832,-0.0003282100078649819,0.9998871684074402,0.4999678432941437,0.6475511789321899,-0.483760803937912,0.9921010732650757,0.3767004609107971,0.6441444754600525,-0.4880729913711548,0.9893598556518555,0.49206942319869995,0.7567116618156433,-0.3834075331687927,0.9899083971977234,0.3991471827030182,0.7488074898719788,-0.3693488538265228,0.9891091585159302,0.48078495264053345,0.7705065011978149,-0.3789622187614441,0.9457597732543945,0.4088732600212097,0.7618727087974548,-0.3611850440502167,0.9517478942871094,0.49655815958976746,0.7859160304069519,-0.5713521838188171,0.9887917041778564,0.3907611668109894,0.7841008901596069,-0.5445108413696289,0.9882168769836426
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,4,0.13333196300102773,0.4328068792819977,0.46997371315956116,-0.17578379809856415,0.9999978542327881,0.4410143494606018,0.464364230632782,-0.14789825677871704,0.9999958872795105,0.4460139572620392,0.4646620750427246,-0.1479252427816391,0.999995768070221,0.4506961405277252,0.46499815583229065,-0.1478976011276245,0.999995768070221,0.42458251118659973,0.46406009793281555,-0.15181149542331696,0.9999953508377075,0.4182584881782532,0.46422988176345825,-0.15189339220523834,0.9999958276748657,0.4126494228839874,0.4645216763019562,-0.15191306173801422,0.9999963641166687,0.4560363292694092,0.4693101644515991,-0.009861486032605171,0.9999865293502808,0.40323954820632935,0.4693044126033783,-0.031543418765068054,0.99998939037323,0.44224175810813904,0.47924789786338806,-0.1279921680688858,0.9999986886978149,0.42079100012779236,0.478975772857666,-0.13437242805957794,0.9999988079071045,0.5047484636306763,0.5245362520217896,0.01967588998377323,0.9999803900718689,0.3494941294193268,0.5253350734710693,0.005283175967633724,0.9999736547470093,0.5295417904853821,0.5851949453353882,-0.07166949659585953,0.9412855505943298,0.3287395238876343,0.589248776435852,-0.07700866460800171,0.9699972867965698,0.516141951084137,0.6073519587516785,-0.2860944867134094,0.9136919975280762,0.35842180252075195,0.6117475628852844,-0.2817172110080719,0.9400306940078735,0.5159414410591125,0.6204949021339417,-0.339493989944458,0.8952755928039551,0.36457279324531555,0.6225314736366272,-0.33547714352607727,0.9185267090797424,0.5056724548339844,0.615178644657135,-0.35624292492866516,0.9005002975463867,0.3746531903743744,0.6183760166168213,-0.35170984268188477,0.9236060380935669,0.5024855136871338,0.6108829379081726,-0.2974853515625,0.8839900493621826,0.3756444752216339,0.6149436831474304,-0.2917040288448334,0.9119173288345337,0.4770362377166748,0.6328890323638916,0.0007040419150143862,0.999931275844574,0.38534024357795715,0.6344622373580933,-0.00045699861948378384,0.9998892545700073,0.5000109076499939,0.6476008892059326,-0.5206878185272217,0.9922592639923096,0.3767848312854767,0.6438875198364258,-0.5263992547988892,0.9894932508468628,0.4921487271785736,0.7567147016525269,-0.40862005949020386,0.9899297952651978,0.39915183186531067,0.7481687068939209,-0.39405110478401184,0.9890255928039551,0.4807892143726349,0.7707045078277588,-0.40302565693855286,0.9465191960334778,0.40888163447380066,0.761509120464325,-0.3843636214733124,0.9514557719230652,0.4993731677532196,0.7853806614875793,-0.6038399338722229,0.9889352917671204,0.3907850384712219,0.7840292453765869,-0.5769166350364685,0.9882339239120483
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,5,0.16666495375128468,0.4327623248100281,0.47042590379714966,-0.175614595413208,0.9999977946281433,0.4410124719142914,0.4645833373069763,-0.14780154824256897,0.9999958872795105,0.4460374414920807,0.464847207069397,-0.14782880246639252,0.999995768070221,0.45069795846939087,0.46513891220092773,-0.14780183136463165,0.999995768070221,0.42454975843429565,0.4644027054309845,-0.1517084687948227,0.9999952912330627,0.4182347059249878,0.46463868021965027,-0.1517895758152008,0.9999958276748657,0.4125380516052246,0.46499234437942505,-0.15180915594100952,0.9999963045120239,0.45622697472572327,0.46953484416007996,-0.011376376263797283,0.9999865293502808,0.4032471477985382,0.46985921263694763,-0.03252224996685982,0.9999892115592957,0.44220417737960815,0.47975820302963257,-0.12774991989135742,0.9999986886978149,0.420795738697052,0.4797753095626831,-0.13403774797916412,0.9999988079071045,0.5051734447479248,0.5246374011039734,0.018075739964842796,0.9999804496765137,0.3495423495769501,0.5253341197967529,0.004052974283695221,0.9999738931655884,0.5298482179641724,0.5854585766792297,-0.07468867301940918,0.9407352805137634,0.3286791443824768,0.5891019105911255,-0.08237742632627487,0.9698047637939453,0.5161815285682678,0.607413113117218,-0.2806015908718109,0.9154755473136902,0.35818353295326233,0.6117496490478516,-0.279878169298172,0.9401974081993103,0.5159366726875305,0.620795488357544,-0.3323597311973572,0.8974114060401917,0.36456242203712463,0.6225970387458801,-0.33179494738578796,0.9187673330307007,0.5056774616241455,0.6152150630950928,-0.3489019572734833,0.9025657176971436,0.3745826780796051,0.6183688044548035,-0.3468652367591858,0.9238108396530151,0.5025021433830261,0.6109182834625244,-0.29168248176574707,0.8861393928527832,0.37555408477783203,0.6149344444274902,-0.28914564847946167,0.9119581580162048,0.47724947333335876,0.6328735947608948,0.0011761175701394677,0.9999311566352844,0.385328471660614,0.6344738602638245,-0.000918546284083277,0.9998883008956909,0.5000179409980774,0.6476039886474609,-0.49420228600502014,0.992273211479187,0.3769751489162445,0.6438054442405701,-0.5007590651512146,0.9894711375236511,0.4921373128890991,0.7567155957221985,-0.3896161615848541,0.9898349642753601,0.3991304934024811,0.7481720447540283,-0.3737041652202606,0.9889419674873352,0.48072129487991333,0.7709163427352905,-0.38474369049072266,0.9467713832855225,0.4087150990962982,0.7613963484764099,-0.36440080404281616,0.9509743452072144,0.5032334327697754,0.7848018407821655,-0.5784237384796143,0.9889054298400879,0.3908133804798126,0.7840277552604675,-0.5483593344688416,0.9881868958473206
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,6,0.19999794450154162,0.4327159821987152,0.4708816111087799,-0.17888985574245453,0.9999977350234985,0.44100797176361084,0.46479329466819763,-0.1515979915857315,0.9999958872795105,0.4460478127002716,0.4650261700153351,-0.1516258716583252,0.999995768070221,0.4506964385509491,0.4652866721153259,-0.15159432590007782,0.9999957084655762,0.42453333735466003,0.46468740701675415,-0.1553356796503067,0.999995231628418,0.4182302951812744,0.46494922041893005,-0.15541665256023407,0.999995768070221,0.41250693798065186,0.4653104841709137,-0.1554374098777771,0.9999962449073792,0.4562802314758301,0.4697470963001251,-0.014447922818362713,0.999986469745636,0.40327948331832886,0.4701167643070221,-0.0354471430182457,0.9999889731407166,0.44213253259658813,0.4801989793777466,-0.13051682710647583,0.9999986886978149,0.42079243063926697,0.48030588030815125,-0.136612668633461,0.9999988079071045,0.5056155323982239,0.5252090096473694,0.017091592773795128,0.9999803900718689,0.3495495915412903,0.5253435373306274,0.0022079357877373695,0.9999740123748779,0.5311118364334106,0.5874204635620117,-0.0753597617149353,0.939458429813385,0.3281165361404419,0.5892361402511597,-0.08511213958263397,0.9696353673934937,0.5169087648391724,0.6074187755584717,-0.28689810633659363,0.9159720540046692,0.357984721660614,0.6115751266479492,-0.2867303490638733,0.9408056139945984,0.5162442326545715,0.6207953691482544,-0.33929115533828735,0.8983574509620667,0.3645787239074707,0.6224613189697266,-0.33956918120384216,0.9196329116821289,0.5060639977455139,0.6151182651519775,-0.3559449315071106,0.9035509824752808,0.37460723519325256,0.6181623935699463,-0.3536420464515686,0.9245998859405518,0.502973735332489,0.6108707785606384,-0.2982092499732971,0.8870348334312439,0.3755348324775696,0.614597499370575,-0.29553288221359253,0.912504255771637,0.4772680997848511,0.6329836249351501,0.0015640691854059696,0.9999317526817322,0.3850911259651184,0.6345060467720032,-0.0012977661099284887,0.9998883008956909,0.4999902844429016,0.6473084688186646,-0.4949660003185272,0.992365837097168,0.37827879190444946,0.6436659693717957,-0.50569087266922,0.9894711375236511,0.49216747283935547,0.7566013932228088,-0.38243645429611206,0.9899179339408875,0.39913061261177063,0.7478024363517761,-0.36658787727355957,0.9890418648719788,0.48073121905326843,0.7709095478057861,-0.378322035074234,0.9471988081932068,0.4085249900817871,0.7602678537368774,-0.35677599906921387,0.9512104392051697,0.5035363435745239,0.7846346497535706,-0.569862961769104,0.9890415072441101,0.3913368582725525,0.7840144634246826,-0.5420125722885132,0.9883627891540527
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,7,0.23333093525179854,0.4330110549926758,0.4714166522026062,-0.18035785853862762,0.999997615814209,0.44135165214538574,0.46512100100517273,-0.15375809371471405,0.9999957084655762,0.4464205205440521,0.4653209149837494,-0.1537877768278122,0.9999955892562866,0.45103180408477783,0.4655427932739258,-0.15375325083732605,0.9999954700469971,0.4247898757457733,0.4650314152240753,-0.1577487736940384,0.9999949932098389,0.41857877373695374,0.4653061330318451,-0.15782910585403442,0.9999955892562866,0.4127521514892578,0.4656626582145691,-0.15785321593284607,0.9999960660934448,0.4565413296222687,0.47012996673583984,-0.019911441951990128,0.9999858140945435,0.40348905324935913,0.470520555973053,-0.04243369773030281,0.9999883770942688,0.4422627389431,0.4807368516921997,-0.1326984167098999,0.9999986290931702,0.42118358612060547,0.48080456256866455,-0.13904720544815063,0.9999987483024597,0.5063432455062866,0.5259726047515869,0.013112307526171207,0.9999799728393555,0.34954941272735596,0.5254737138748169,-0.00814593955874443,0.9999738335609436,0.5322892069816589,0.5897435545921326,-0.0769609808921814,0.9374068975448608,0.3277803361415863,0.5902462005615234,-0.09016178548336029,0.9696164727210999,0.5170371532440186,0.6074299812316895,-0.2873380780220032,0.9156519174575806,0.357988566160202,0.6112571358680725,-0.2878037095069885,0.941673219203949,0.5162023901939392,0.6207567453384399,-0.33878353238105774,0.8985641598701477,0.3648216426372528,0.6222029328346252,-0.33992356061935425,0.9208046793937683,0.5060319900512695,0.614915132522583,-0.355132132768631,0.9038394689559937,0.3750411570072174,0.6178758144378662,-0.3527718484401703,0.9256787896156311,0.5029723644256592,0.6107447743415833,-0.29852017760276794,0.887231707572937,0.3756959140300751,0.6141917705535889,-0.2959156334400177,0.9134127497673035,0.47731155157089233,0.6332000494003296,0.002226796466857195,0.9999306201934814,0.38459914922714233,0.6346063613891602,-0.0019542791415005922,0.9998859763145447,0.49995458126068115,0.6468537449836731,-0.4907267689704895,0.992273211479187,0.3791728913784027,0.6434472799301147,-0.4958701431751251,0.9892282485961914,0.4921654462814331,0.7559095025062561,-0.3621727526187897,0.9898591637611389,0.3990713357925415,0.7473960518836975,-0.3552088737487793,0.9891212582588196,0.4806302487850189,0.7706987261772156,-0.35610494017601013,0.9470788240432739,0.4078373312950134,0.7591118216514587,-0.3433866798877716,0.9516339302062988,0.503818690776825,0.7844603657722473,-0.5488568544387817,0.9890099167823792,0.39213529229164124,0.7839832305908203,-0.5330069065093994,0.9885082840919495
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,8,0.26666392600205546,0.43300551176071167,0.47206875681877136,-0.1836085021495819,0.9999974370002747,0.44135069847106934,0.46553200483322144,-0.15813040733337402,0.9999952912330627,0.4464561343193054,0.4657093584537506,-0.15816730260849,0.999995231628418,0.45106902718544006,0.4659033417701721,-0.15814092755317688,0.9999949932098389,0.42478808760643005,0.46545952558517456,-0.16143500804901123,0.9999945163726807,0.41859057545661926,0.4657367765903473,-0.16151739656925201,0.999995231628418,0.412751168012619,0.4660974144935608,-0.16155283153057098,0.9999956488609314,0.4569040834903717,0.4706937074661255,-0.030586935579776764,0.9999844431877136,0.40358516573905945,0.4711448848247528,-0.04910295829176903,0.9999874234199524,0.44225776195526123,0.4814566969871521,-0.1379721462726593,0.9999985694885254,0.42118701338768005,0.48150715231895447,-0.1433260440826416,0.9999986886978149,0.5073513984680176,0.5268624424934387,0.0006825264426879585,0.9999793171882629,0.3495560586452484,0.52550208568573,-0.018227696418762207,0.9999737739562988,0.5339518189430237,0.5915977358818054,-0.080992691218853,0.9370434284210205,0.32638081908226013,0.5907548069953918,-0.09408677369356155,0.9701315760612488,0.5170257687568665,0.6076971888542175,-0.2840692400932312,0.9153255224227905,0.3581532835960388,0.6111772656440735,-0.28646501898765564,0.9427346587181091,0.5151657462120056,0.6209233403205872,-0.3338845372200012,0.8986261487007141,0.3655310869216919,0.6220661997795105,-0.3374618589878082,0.9221125245094299,0.5047320127487183,0.6149161458015442,-0.3499791622161865,0.9037976264953613,0.37562254071235657,0.6177122592926025,-0.3488531708717346,0.926714301109314,0.5022289156913757,0.6107721328735352,-0.2948904037475586,0.8867856860160828,0.3760126531124115,0.6140150427818298,-0.29378798604011536,0.9140622019767761,0.47730666399002075,0.633114755153656,0.0027344711124897003,0.9999301433563232,0.3842405378818512,0.6344321370124817,-0.00248526968061924,0.999885618686676,0.4997968375682831,0.6471831202507019,-0.4712083637714386,0.9920626282691956,0.38009220361709595,0.6434483528137207,-0.4954252541065216,0.9888436794281006,0.4921666085720062,0.7558397650718689,-0.34219861030578613,0.989745557308197,0.39908477663993835,0.7473501563072205,-0.334138423204422,0.9891353249549866,0.48054587841033936,0.7706364393234253,-0.33569464087486267,0.946373701095581,0.407693475484848,0.7586976289749146,-0.3224005103111267,0.9514724612236023,0.5047928094863892,0.7842787504196167,-0.5243048071861267,0.9888770580291748,0.3925101161003113,0.7840161323547363,-0.5067213773727417,0.9885645508766174
WhatsApp Video 2025-10-12 at 9.49.13 PM (1).mp4,9,0.29999691675231244,0.4330754280090332,0.47272032499313354,-0.1830107867717743,0.9999973177909851,0.44147124886512756,0.46596360206604004,-0.1578611582517624,0.9999949932098389,0.44666337966918945,0.4661385118961334,-0.1579011082649231,0.9999949932098389,0.4512917697429657,0.4663389027118683,-0.157878115773201,0.999994695186615,0.4248690605163574,0.4659006595611572,-0.16095957159996033,0.999994158744812,0.41867372393608093,0.4661712944507599,-0.1610404998064041,0.9999949336051941,0.412771075963974,0.4665362536907196,-0.16107766330242157,0.9999953508377075,0.4576197862625122,0.47138506174087524,-0.03272872045636177,0.9999834895133972,0.40365973114967346,0.4716423451900482,-0.049836013466119766,0.9999868273735046,0.44228309392929077,0.482236385345459,-0.13801464438438416,0.9999985098838806,0.42121168971061707,0.48237767815589905,-0.14307259023189545,0.9999986290931702,0.5081540942192078,0.5272956490516663,-0.0028513676952570677,0.9999790787696838,0.3496035039424896,0.5254728198051453,-0.020031359046697617,0.9999739527702332,0.5348250269889832,0.5919098854064941,-0.08105910569429398,0.9374678730964661,0.32499903440475464,0.5907372832298279,-0.0930357351899147,0.9710039496421814,0.5170027613639832,0.6077151298522949,-0.2807925343513489,0.9162887334823608,0.3581555187702179,0.6111772060394287,-0.2819352447986603,0.9440786838531494,0.5144731402397156,0.6209090352058411,-0.3300980031490326,0.8999722599983215,0.36561039090156555,0.6220125555992126,-0.33250370621681213,0.9236479997634888,0.5038342475891113,0.614862322807312,-0.34627118706703186,0.9049370884895325,0.375732958316803,0.6176660656929016,-0.34529054164886475,0.927952229976654,0.5016145706176758,0.6107655763626099,-0.29153165221214294,0.8876295685768127,0.37607714533805847,0.6139830946922302,-0.2895154058933258,0.9150471091270447,0.47724539041519165,0.6329632997512817,0.003128512529656291,0.9999298453330994,0.3839718699455261,0.634249210357666,-0.002898734761402011,0.9998855590820312,0.4997948706150055,0.6473777294158936,-0.4542102515697479,0.9918495416641235,0.38099583983421326,0.6438153982162476,-0.4801488220691681,0.9884797930717468,0.4920845925807953,0.7557801008224487,-0.3387019634246826,0.989646315574646,0.3992239832878113,0.7473922371864319,-0.329166054725647,0.989118754863739,0.4801385998725891,0.7705722451210022,-0.3332096040248871,0.9457679986953735,0.4077616333961487,0.7587207555770874,-0.3186138868331909,0.9511641263961792,0.5050843358039856,0.7841804623603821,-0.5197248458862305,0.9887438416481018,0.39255502820014954,0.7841078639030457,-0.4993785619735718,0.9885727167129517
