video,frame,knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy
VID_20251012_204847988~2.mp4,0,179.98658855154872,174.66672079902938,164.6088277721568,162.58638835038462,176.7459623583131,0.0
VID_20251012_204847988~2.mp4,1,179.98011982679466,174.92889580793914,164.70537847986728,162.79165575463765,176.71863193844342,0.0029352947357817434
VID_20251012_204847988~2.mp4,2,179.96779640468878,175.23184111437138,164.81463376263,162.94767201143296,176.68251083067224,0.0026799683080827377
VID_20251012_204847988~2.mp4,3,179.49880576744013,175.7828873378275,165.2365585551083,163.34173323817288,176.63546251915022,0.004881649845370823
VID_20251012_204847988~2.mp4,4,178.6339853070353,176.31627945256062,165.77072053115498,163.70051093071893,176.59528717095404,0.005011934623662549
VID_20251012_204847988~2.mp4,5,177.73199836673794,176.83014446738952,166.203905204089,164.08473332397864,176.57943154058623,0.004931647203317405
VID_20251012_204847988~2.mp4,6,176.9068639711768,177.16032754932885,166.51424612077597,164.6708547998256,176.6330252526628,0.004635500159509095
VID_20251012_204847988~2.mp4,7,176.21143387967194,177.1326278777935,166.44758862350272,165.61160134353895,176.82916220218166,0.005045355460106506
VID_20251012_204847988~2.mp4,8,176.2522003837501,176.70649997634146,165.82997530009158,166.76832073169095,177.10471970511222,0.005636163908451554
VID_20251012_204847988~2.mp4,9,176.72555293979488,176.13289189998574,164.75841012578167,168.00502559597865,177.41874824688892,0.006335555284890966
VID_20251012_204847988~2.mp4,10,177.36952798679107,175.40011519873283,163.434966759972,169.2877797909135,177.72843082976257,0.0071858186851826164
VID_20251012_204847988~2.mp4,11,177.49297013678142,174.79066915964395,162.48175122717734,170.24605626339823,177.83724287983074,0.007797459820693683
VID_20251012_204847988~2.mp4,12,177.07508660833565,174.5635081020213,162.10875855315848,170.86328502907105,177.75716281681832,0.007329169405662506
VID_20251012_204847988~2.mp4,13,176.49064711565197,174.51612889519936,162.04941859287084,171.3343920014876,177.52296007086952,0.0070788157630467755
VID_20251012_204847988~2.mp4,14,175.87529544783683,174.38584040562165,162.3134068588551,171.80063761723284,177.15332978956255,0.007436822335185661
VID_20251012_204847988~2.mp4,15,175.31621729929597,174.2895852437481,162.66688732006125,172.18427071882937,176.7371998030568,0.0073748054510382405
VID_20251012_204847988~2.mp4,16,175.102600901033,174.17620384477178,162.76520534249903,172.55825122599808,176.37640763572531,0.0061949106911391265
VID_20251012_204847988~2.mp4,17,174.55735554331014,174.17675572368714,163.04920021972552,172.62413253063085,175.9580334932955,0.005293165310682984
VID_20251012_204847988~2.mp4,18,173.44769409009461,174.76326741864747,163.70742647475015,172.24648276497837,175.47917009084838,0.004994046609478859
VID_20251012_204847988~2.mp4,19,172.42196867710092,175.96560906298313,164.54955929204172,171.5533383352818,175.00155814460697,0.004320774284212999
VID_20251012_204847988~2.mp4,20,171.79874115783863,177.42481904886853,165.45107364505404,170.67838037228907,174.52990327680405,0.004349060193380637
VID_20251012_204847988~2.mp4,21,171.3067935547353,178.72162961383944,166.25530165697413,169.99782946250144,174.18615070454717,0.003963875592809339
VID_20251012_204847988~2.mp4,22,171.119823879765,179.69483233757052,166.82081649877114,169.63558567318958,173.9979844072837,0.0038713731742387797
VID_20251012_204847988~2.mp4,23,171.62337152030167,179.80792307244155,166.98375227296563,169.67264436646258,173.9904429448185,0.0030566443804339325
VID_20251012_204847988~2.mp4,24,172.16562625318554,179.7243675376479,167.01974902228054,169.9000184842742,174.09033166068585,0.0033736295554238093
VID_20251012_204847988~2.mp4,25,172.30015195330162,179.8998298296834,167.12846748426577,170.28588917666588,174.2839780723855,0.003379899440666407
VID_20251012_204847988~2.mp4,26,172.42355378158638,179.9782970375761,167.1544326978174,170.55797235203414,174.5204514920721,0.004014572742266949
VID_20251012_204847988~2.mp4,27,172.92710962442905,179.9340160860678,166.88820107898252,170.745016625422,174.81010481713324,0.004634089336369136
VID_20251012_204847988~2.mp4,28,173.39716668605865,179.77870441128997,166.38317991664545,171.0426873985118,175.28711810388407,0.006132155437458013
VID_20251012_204847988~2.mp4,29,173.9570309003642,179.80271104271313,165.6940996935486,171.50120025254006,175.96937738020964,0.007162829962345074
VID_20251012_204847988~2.mp4,30,174.599552340664,179.68151509249986,164.85728786025805,172.16073794309668,176.90961313540976,0.00824055083540222
VID_20251012_204847988~2.mp4,31,174.97652100101334,178.70128079590137,164.21225866510787,172.91636359441475,178.02490577067312,0.008231730641204575
VID_20251012_204847988~2.mp4,32,174.8042653879835,177.33041522354236,164.1908718830938,173.57243528764582,179.14256311558117,0.007882251057299627
VID_20251012_204847988~2.mp4,33,174.33245155210622,175.29917244964335,165.06618239030118,173.46973091279736,179.87741203379417,0.006862382286673105
VID_20251012_204847988~2.mp4,34,173.256619207129,172.42853504064766,166.52777577996306,172.54935485341375,179.61806420852224,0.0070109388144692485
VID_20251012_204847988~2.mp4,35,172.782198304677,168.91489154021292,167.7686708696646,170.8860263205624,179.34721893607303,0.007577567002401796
VID_20251012_204847988~2.mp4,36,173.73192648730821,165.0922256514768,168.58151526754463,168.76082348262543,179.30882841218815,0.007229158734067532
VID_20251012_204847988~2.mp4,37,175.65024578093792,161.48131876785084,168.58764091159568,166.73040425364704,179.2262851121428,0.006361351252216864
VID_20251012_204847988~2.mp4,38,177.7965163536782,157.8698231601766,168.1494570208045,164.98412109708806,179.01691819027187,0.005625230719182751
VID_20251012_204847988~2.mp4,39,179.767712621332,156.3703923546188,167.4432911132316,164.0774405327924,178.7685181336843,0.004948397940603872
VID_20251012_204847988~2.mp4,40,178.43284710267767,157.1700105876258,167.47074083455888,163.6754510902132,178.66114926389886,0.005787840458064851
VID_20251012_204847988~2.mp4,41,178.84386781572593,159.76420880587523,168.56018251501035,163.7528951384542,178.73785763211242,0.006851895326411423
VID_20251012_204847988~2.mp4,42,179.61702313322408,163.0550617699354,169.66425197690668,164.2912326077639,178.80371275362705,0.007945754621672184
VID_20251012_204847988~2.mp4,43,179.37111366346724,166.61376613693648,170.58565662272287,164.9835861082905,178.8488886884609,0.008290898720579979
VID_20251012_204847988~2.mp4,44,178.39634915752376,170.0906679326566,171.49826615408435,165.50939098069117,178.9831131352184,0.008399256945745443
VID_20251012_204847988~2.mp4,45,177.4439484830738,173.71244928129457,172.48397955031828,166.04401781339473,179.156055669918,0.007525605429738546
VID_20251012_204847988~2.mp4,46,177.1273248775729,176.65609491985325,172.88426617637057,166.42332019527424,179.21779898096332,0.006495292790906226
VID_20251012_204847988~2.mp4,47,177.09038393702693,178.78353740344923,173.45212352608883,166.4133391961491,179.47042014674363,0.007160768982816204
VID_20251012_204847988~2.mp4,48,177.21372817460312,179.80486790928035,174.0699536600911,166.7164832514401,179.81966978158104,0.006688585414888966
VID_20251012_204847988~2.mp4,49,177.18032121419475,179.3293142383662,174.48885539586303,167.0383798775703,179.79933664209221,0.00661336818057419
VID_20251012_204847988~2.mp4,50,177.226978119927,179.85861985209544,174.49215945917197,167.30205313680068,179.4678792919532,0.006362479093742091
VID_20251012_204847988~2.mp4,51,177.19014473262635,179.55564200720767,174.31360434315954,167.72515219625654,179.14193992608992,0.006601834644362962
VID_20251012_204847988~2.mp4,52,176.93138062632647,179.28054682691638,173.9767391134044,168.56784518619494,178.88746708765512,0.007452019176173363
VID_20251012_204847988~2.mp4,53,177.146238660627,179.66759807832622,173.21828078519627,169.6482801139959,178.76865445012567,0.0077485763339932056
VID_20251012_204847988~2.mp4,54,178.5153756044081,179.854874361066,172.07798395223145,170.71475733961546,178.69895927446962,0.007876650838874736
VID_20251012_204847988~2.mp4,55,178.6883929968112,179.72843542313262,170.50675176219855,171.5035461820425,178.5860568535191,0.007482378353320225
VID_20251012_204847988~2.mp4,56,174.65631606865153,179.79565300968804,168.6204731366196,171.94906795534942,178.50322070679513,0.007140387726741039
VID_20251012_204847988~2.mp4,57,170.39081376523671,178.9152235572507,166.763793787982,172.06316963244808,178.41493310364788,0.007751743382697365
VID_20251012_204847988~2.mp4,58,166.20155923162952,177.81651538403437,164.9199917834357,171.89075852020252,178.29447529069225,0.00855254207953079
VID_20251012_204847988~2.mp4,59,163.3312879160431,177.28947794723246,163.24555125375693,171.79583721480896,178.11914546826836,0.008972545173802577
VID_20251012_204847988~2.mp4,60,163.09343729203485,177.55601667214668,162.02800882042416,172.27816449065753,178.0790403272954,0.009372392014712082
VID_20251012_204847988~2.mp4,61,164.60714852081765,178.36222424449218,161.3593643773526,173.01460162274822,178.04280959446314,0.009315091501535014
VID_20251012_204847988~2.mp4,62,167.78881092831097,179.00935176621704,161.04205586604002,173.66261677736563,178.03434685712458,0.008758310053749403
VID_20251012_204847988~2.mp4,63,172.55105599008485,179.52598851511453,160.99204443416056,174.17343940516906,178.1462753155541,0.00832578232871655
VID_20251012_204847988~2.mp4,64,177.77370386112182,179.502657361612,161.17177653407148,174.5174219313242,178.41239820572525,0.00780886119847473
VID_20251012_204847988~2.mp4,65,177.6120357481516,178.97508962309558,161.30645872948622,174.52020397041946,178.76194732298256,0.007313989728948636
VID_20251012_204847988~2.mp4,66,173.94615640409316,178.06291520929025,161.27850801074496,174.35812443940105,179.25576088924996,0.007348520994287593
VID_20251012_204847988~2.mp4,67,171.8052315861505,177.22046512855914,161.204536010374,174.11938470915933,179.8153441794558,0.00791984617228273
VID_20251012_204847988~2.mp4,68,170.81252882899273,176.24116088895417,161.30550873979828,173.8737154999562,179.59945846433993,0.00815779563874998
