knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy,label
0.7841848170252136,0.27365318873786276,0.47581158764301057,0.4425216109009978,0.6125648815295932,-0.17042848885249295,Walk to front
-1.2419293377792984,0.3384437505750337,0.9285991435731024,-1.1458376046916006,0.29131761326763983,-0.17807502005810888,Walk to front
0.7274803233823708,0.1780389634235591,0.40036745951995867,-0.1005173384097026,0.5381505360714094,-0.14690676764282626,Turn 180
-1.7315668768484551,0.1252441831911773,-0.5014870812695466,0.3676827653478886,0.051652487799255735,-0.15042816924311012,Lean Right
0.5334258667428532,0.2294495137160467,0.2757122724514912,0.33067977660835657,0.3918319387024858,-0.1414116016088438,Sit
-0.24744054728406803,-0.054310110207747564,0.5531954955686953,-0.15829773770479774,-0.08908138291740096,-0.16486437165697743,Turn 180
0.6700136361816859,0.6648946581831319,0.8294262402319014,-0.036395270513944374,0.46547351222552985,-0.1529198427285099,Lean Left
0.6561663142318129,0.6045010141429044,0.6062022656988099,0.2626258923296838,0.6474423360720134,-0.176025799036903,Walk to front
0.4943372420141796,0.36646894761937915,0.25867987217403066,0.014329481559271058,0.21742315143014512,-0.17215064618718354,Stand
-0.03870913797979629,0.6573669311431383,0.926731221057568,-0.19680170104989442,0.4016199891077784,0.007558759283070369,Sit
0.7006140430605594,0.45529830543353006,0.45458395094468085,0.15184258216591875,0.03380405702671112,-0.17663564991885877,Turn 180
0.33473852273587207,-0.18334265974266897,0.3070230353866943,0.2011440154248207,0.5958409387610039,-0.16332485567030433,Walk to front
0.5233474201343702,0.7012546975631084,-0.031068596673161378,0.0643329284367704,0.6469000081114978,-0.12510906691039425,Walk to back
0.13144200199093525,0.06969061566257788,0.4145468304710298,0.6457251592563574,0.657683146504858,-0.09967057643853297,Turn 180
-0.5282174658767923,0.6526170452552441,-0.20735734338865647,0.869374961151859,0.34913049341250463,-0.14488180740687404,Lean Right
0.27917833183312185,0.12584602284188792,-0.3559113030699806,0.4014265691094879,0.5476924863519845,-0.16986915175555503,Turn 180
0.39432410518465916,0.60743793862898,0.7556825681867511,0.4271726117793908,0.595597197180884,-0.18209026953621854,Turn 180
-0.30497939825939274,-0.876947554804095,0.3775428840805856,-0.3696631677827482,0.511268916233735,-0.1504637311781927,Turn 180
0.5427617742006589,0.7107498013513811,0.43246786936982157,0.4032619953141677,0.5463765177481522,-0.17271047082923988,Stand
0.05905169444129523,0.5119843300232249,0.23086324253752294,0.7529776736125363,0.11955792203289888,-0.1595535804270409,Lean Left
0.32071124645230786,0.4140351447649916,-0.043161784715825956,0.823260699046948,0.43052655840342124,-0.1489316689105034,Walk to front
0.26371900731026393,0.7051886930649309,-0.16637928373709768,0.9205624912765931,0.4893007879344289,-0.1612979480764306,Lean Right
0.6897832627712018,0.6544493279755236,0.819480247263029,0.05288906295244638,0.003817762687817074,-0.1536456313175549,Squat
0.14859769315666713,0.773003091993288,-0.058622562232063656,0.8078213538713498,0.39852077267867625,-0.17609559313161074,Lean Left
-1.1986121574633213,0.5962313061715432,-1.4347481881895765,1.1414474676123423,0.41398606519580816,-0.1345441448255828,Walk to back
0.20776508097994884,0.6715418144385226,1.4143339928276075,-1.0695770870173602,-2.506827816331526,-0.1560478605669096,Squat
0.6583812003449788,0.737246146012815,0.8718396623956969,0.007318600198378379,0.6593693845078005,-0.15054045319378223,Squat
0.2586417305550708,-0.13173263242765712,0.507748352367876,0.20304625066007564,0.26247518841331513,-0.1892648783873828,Stand
-0.710259765701262,0.4434177591787927,-0.6607083869906688,0.887101885049858,0.6513959155879526,-0.12082945648027191,Walk to back
0.3624150201874906,-0.9134947459426132,0.31625082775818725,0.5021795025550534,0.3668184815983236,-0.1744366287571042,Lean Left
-0.09497000225049121,0.21409882929357296,0.22857532602956934,0.6518935353006395,0.5490847011780161,-0.16196210643190062,Lean Right
0.7621984025334146,0.37441724933924847,0.6018823759007231,-0.055498877085941846,0.6620066030146349,-0.16907380603767969,Turn 180
0.783977958560101,0.10671425401186126,0.12140287014819062,0.4641109970562174,0.38751644001975954,-0.15803555507135195,Lean Right
0.29260779831131156,0.5871520995257525,0.21499163416529918,0.4116089674593645,0.6845792471677937,-0.14592459899546043,Turn 180
-0.6953336858154585,0.5027251054096297,0.34986607245535367,0.6529854745595239,0.20202834893123725,-0.15740704297145483,Lean Right
0.27263345776379666,0.627991038133978,0.4744049817925947,0.17115906150354088,0.6422368342174181,-0.06987241050895447,Sit
0.09379855291190102,-1.1745404196143132,-0.15555449224140955,0.5164746215093083,0.17710859891997727,-0.15569117827762394,Walk to front
-0.04170467376646648,0.20627688215948,0.5710648324351055,0.5016593268167128,0.4922867011821858,-0.17114048979664798,Lean Left
-2.7160379021269105,-2.7126375589924714,-3.3975238452598227,-3.3454950874838434,0.3219298855885114,-0.1815328731041911,Walk to front
-0.21764569291610603,0.5458593272746478,1.0100845198139095,-0.10687556699374218,0.1652964195026957,-0.13071661517159072,Sit
-0.6671931039732492,0.7844453744299792,-0.24858695016488241,0.14055403950195083,0.596207499676443,-0.1346155393523394,Turn 180
0.714076478013166,-0.8754317854275124,0.604946591865463,-0.06676907438168785,0.3922084715303887,-0.15381095779468557,Turn 180
0.5351802208057529,0.479701024313815,0.38560950184086995,0.3324646761840059,0.6148410087418384,-0.06000880797764647,Squat
0.714000114782832,0.7285197504348875,0.7423419334883505,0.14609375188506493,0.5447410585145768,-0.16687485414395273,Walk to front
0.2519466492549002,0.4372356973707018,0.24858855689125428,-0.01275642065032096,0.572610797757845,-0.15573297411676496,Turn 180
